,variable,CI,lower,upper,category
11,% poverty,-0.0686513205303137,-0.110848667872789,-0.0264539731878383,Power Plants (Nuclear and Fossil Fuel)
12,% renters,-0.328189930237862,-0.367931449545273,-0.288448410930452,Power Plants (Nuclear and Fossil Fuel)
14,% linguistic isolation,-0.0818555970602297,-0.122723445723824,-0.0409877483966354,Power Plants (Nuclear and Fossil Fuel)
15,% non-voters,-0.262769953492824,-0.305585141929359,-0.219954765056289,Power Plants (Nuclear and Fossil Fuel)
16,% Hispanic,-0.0767467327291049,-0.114659097842267,-0.0388343676159428,Power Plants (Nuclear and Fossil Fuel)
17,% Black,-0.0725591190217575,-0.10953633818802,-0.0355818998554953,Power Plants (Nuclear and Fossil Fuel)
18,% Asian & Pacific Islanders,-0.172286463757925,-0.21034889710996,-0.13422403040589,Power Plants (Nuclear and Fossil Fuel)
19,% Native Americans,0.138061141597572,0.103879428672771,0.172242854522373,Power Plants (Nuclear and Fossil Fuel)
20,% Other people of color,-0.0035395983139279,-0.0434501605182162,0.0363709638903602,Power Plants (Nuclear and Fossil Fuel)
21,% without a car,-0.461353795657761,-0.500728493682101,-0.421979097633422,Power Plants (Nuclear and Fossil Fuel)
11,% poverty,-0.205359240346055,-0.297183792934255,-0.113534687757856,Animal Operations
12,% renters,0.259162052050588,0.148766909824272,0.369557194276905,Animal Operations
14,% linguistic isolation,0.420115167289058,0.303938706805029,0.536291627773087,Animal Operations
15,% non-voters,0.0896014998398311,-0.0047000140563563,0.183903013736019,Animal Operations
16,% Hispanic,0.334593831031001,0.217020106219937,0.452167555842065,Animal Operations
17,% Black,0.104132626045992,-0.0574116866105146,0.265676938702498,Animal Operations
18,% Asian & Pacific Islanders,0.338216703317578,0.245034618964838,0.431398787670318,Animal Operations
19,% Native Americans,-0.078458740814799,-0.217618712922434,0.0607012312928357,Animal Operations
20,% Other people of color,0.0822956559707288,-0.0402532405548407,0.204844552496298,Animal Operations
21,% without a car,0.184596645102996,0.0788314648167086,0.290361825389284,Animal Operations
11,% poverty,0.0056019536202308,-0.0174836912422363,0.028687598482698,Sewage Treatment Facilities
12,% renters,-0.160035231254588,-0.182685509202591,-0.137384953306584,Sewage Treatment Facilities
14,% linguistic isolation,-0.0176191068669031,-0.0413421451419024,0.0061039314080963,Sewage Treatment Facilities
15,% non-voters,-0.0334595797425263,-0.0561698076555026,-0.01074935182955,Sewage Treatment Facilities
16,% Hispanic,-0.0180368580729541,-0.0417241565175664,0.005650440371658,Sewage Treatment Facilities
17,% Black,-0.0029760630176154,-0.0245330790152868,0.018580952980056,Sewage Treatment Facilities
18,% Asian & Pacific Islanders,-0.0196109814500621,-0.0421525455775702,0.0029305826774459,Sewage Treatment Facilities
19,% Native Americans,0.0612151541821076,0.0420914214426719,0.0803388869215434,Sewage Treatment Facilities
20,% Other people of color,-0.0053482301740172,-0.0275988595148324,0.0169023991667979,Sewage Treatment Facilities
21,% without a car,-0.155462596129874,-0.17875223192888,-0.132172960330868,Sewage Treatment Facilities
11,% poverty,-0.0761930724227035,-0.138767245642191,-0.013618899203216,Hazardous Waste Treatment & Disposal
12,% renters,-0.0682444255389604,-0.13659935270188,0.0001105016239591,Hazardous Waste Treatment & Disposal
14,% linguistic isolation,-0.055521102704014,-0.128719136439912,0.0176769310318835,Hazardous Waste Treatment & Disposal
15,% non-voters,0.0121046679733593,-0.0594107701961312,0.0836201061428498,Hazardous Waste Treatment & Disposal
16,% Hispanic,-0.0870905285786355,-0.157184469032407,-0.0169965881248644,Hazardous Waste Treatment & Disposal
17,% Black,0.0601145433181761,-0.0027393953193508,0.122968481955703,Hazardous Waste Treatment & Disposal
18,% Asian & Pacific Islanders,-0.0402649740865944,-0.110443559566132,0.0299136113929431,Hazardous Waste Treatment & Disposal
19,% Native Americans,-0.292596668199149,-0.356106384235059,-0.229086952163239,Hazardous Waste Treatment & Disposal
20,% Other people of color,-0.0348954213655047,-0.102298713746604,0.0325078710155948,Hazardous Waste Treatment & Disposal
21,% without a car,0.0662211201608706,-0.0021581814347305,0.134600421756472,Hazardous Waste Treatment & Disposal
11,% poverty,-0.0834152918573051,-0.105384623993535,-0.0614459597210748,Industrial Facilities (TRI)
12,% renters,-0.323497152459907,-0.342856416957411,-0.304137887962402,Industrial Facilities (TRI)
14,% linguistic isolation,-0.169337289644738,-0.192472447356392,-0.146202131933084,Industrial Facilities (TRI)
15,% non-voters,-0.164935547593651,-0.188564481944596,-0.141306613242706,Industrial Facilities (TRI)
16,% Hispanic,-0.14414361509869,-0.165725327039148,-0.122561903158232,Industrial Facilities (TRI)
17,% Black,-0.0818969100694095,-0.104547290441111,-0.059246529697708,Industrial Facilities (TRI)
18,% Asian & Pacific Islanders,-0.111039728310586,-0.1350232327333,-0.0870562238878721,Industrial Facilities (TRI)
19,% Native Americans,0.0100240232499166,-0.0079383588301516,0.0279864053299847,Industrial Facilities (TRI)
20,% Other people of color,-0.0428143432595241,-0.0660732367844903,-0.0195554497345579,Industrial Facilities (TRI)
21,% without a car,-0.274165131388289,-0.295672042194035,-0.252658220582542,Industrial Facilities (TRI)
11,% poverty,0.0060461081563445,-0.0634025722181952,0.0754947885308842,Landfills and Incinerators
12,% renters,-0.092269934066161,-0.161110066413929,-0.0234298017183928,Landfills and Incinerators
14,% linguistic isolation,0.0771675790636687,0.0084729339579413,0.145862224169396,Landfills and Incinerators
15,% non-voters,0.0630718447953354,-0.0142145271561756,0.140358216746846,Landfills and Incinerators
16,% Hispanic,0.0606802211459234,-0.0103858301979269,0.131746272489774,Landfills and Incinerators
17,% Black,0.0177112552977648,-0.052785933400722,0.0882084439962516,Landfills and Incinerators
18,% Asian & Pacific Islanders,0.0093551103701531,-0.0549982475608454,0.0737084683011516,Landfills and Incinerators
19,% Native Americans,-0.1358146061637,-0.196520789521247,-0.0751084228061529,Landfills and Incinerators
20,% Other people of color,-0.0854289330455739,-0.150557497939868,-0.0203003681512802,Landfills and Incinerators
21,% without a car,0.0009918550160707,-0.0636535123985778,0.0656372224307193,Landfills and Incinerators
11,% poverty,-0.0332908922991264,-0.0797907567746817,0.013208972176429,Clean-up Sites
12,% renters,-0.283271000149467,-0.323375228082765,-0.24316677221617,Clean-up Sites
14,% linguistic isolation,-0.0130845011448866,-0.0594249011469497,0.0332558988571764,Clean-up Sites
15,% non-voters,-0.183739245411117,-0.224963614396316,-0.142514876425918,Clean-up Sites
16,% Hispanic,-0.0863040593956483,-0.12884973506118,-0.043758383730117,Clean-up Sites
17,% Black,-0.117142678564636,-0.161592835262068,-0.0726925218672036,Clean-up Sites
18,% Asian & Pacific Islanders,-0.0542046781427943,-0.102141298028148,-0.0062680582574402,Clean-up Sites
19,% Native Americans,0.132224796604008,0.092407285982995,0.172042307225022,Clean-up Sites
20,% Other people of color,-0.0600502142485753,-0.105899322891057,-0.0142011056060936,Clean-up Sites
21,% without a car,-0.285105897012941,-0.330512023120985,-0.239699770904897,Clean-up Sites
11,% poverty,-0.13016634121075,-0.318011071024233,0.0576783886027337,Refineries
12,% renters,0.0997994856463822,-0.08662511551148,0.286224086804244,Refineries
14,% linguistic isolation,0.355345781900038,0.17289762589782,0.537793937902256,Refineries
15,% non-voters,-0.329867582209231,-0.479190449841728,-0.180544714576734,Refineries
16,% Hispanic,0.148653071682501,-0.0584944343072247,0.355800577672227,Refineries
17,% Black,-0.0816494234654402,-0.28603180497406,0.12273295804318,Refineries
18,% Asian & Pacific Islanders,0.448472155225291,0.32725422674434,0.569690083706243,Refineries
19,% Native Americans,0.238708004516168,0.0663114688131393,0.411104540219198,Refineries
20,% Other people of color,0.135938072881199,-0.0401003848846689,0.311976530647068,Refineries
21,% without a car,0.0132940858145773,-0.182251941535543,0.208840113164697,Refineries
11,% poverty,-0.179762780679043,-0.218846712648879,-0.140678848709206,Fossil Fuel Ports and Terminals
12,% renters,-0.36488536061592,-0.4011097319497,-0.328660989282139,Fossil Fuel Ports and Terminals
14,% linguistic isolation,-0.137644527883327,-0.179230655342662,-0.0960584004239914,Fossil Fuel Ports and Terminals
15,% non-voters,-0.347854277313921,-0.385761715997844,-0.309946838629999,Fossil Fuel Ports and Terminals
16,% Hispanic,-0.125435925679177,-0.167367953224621,-0.0835038981337333,Fossil Fuel Ports and Terminals
17,% Black,-0.0836158805174697,-0.120195735983343,-0.0470360250515962,Fossil Fuel Ports and Terminals
18,% Asian & Pacific Islanders,0.0036624579016627,-0.0338697588130724,0.0411946746163979,Fossil Fuel Ports and Terminals
19,% Native Americans,-0.0040061217708311,-0.0436230803744218,0.0356108368327595,Fossil Fuel Ports and Terminals
20,% Other people of color,-0.0373374887662322,-0.0778787881876161,0.0032038106551517,Fossil Fuel Ports and Terminals
21,% without a car,-0.301857568932722,-0.341249982673753,-0.262465155191691,Fossil Fuel Ports and Terminals
11,% poverty,0.0926229122560954,0.057523039705753,0.127722784806438,Formerly Used Defense Sites
12,% renters,-0.0282619634022663,-0.0633362405602692,0.0068123137557365,Formerly Used Defense Sites
14,% linguistic isolation,0.0532596129593575,0.0196291555629458,0.0868900703557692,Formerly Used Defense Sites
15,% non-voters,0.0986085957439149,0.0621510508794306,0.135066140608399,Formerly Used Defense Sites
