,index,coef,p5,p95,significance,n_obs
0,est_pct_poverty,0.097,-0.054,0.249,,20943.0
1,est_pct_poc,0.059,-0.125,0.242,,20986.0
2,est_pct_latinx,0.257,-0.019,0.534,p<0.1,20986.0
3,est_pct_nhblack,-0.096,-0.264,0.072,,20986.0
4,est_pct_asianpi,-0.046,-0.182,0.09,,20986.0
5,est_pct_native,0.056,-0.021,0.134,,20986.0
6,est_pct_otherpoc,0.049,-0.024,0.123,,21088.0
7,est_pct_renters,0.184,0.08,0.289,p<0.01,20986.0
8,est_pct_langisolation,0.086,-0.174,0.347,,20929.0
9,est_pct_elderly,0.042,-0.007,0.092,p<0.1,20929.0
10,est_pct_under18,-0.031,-0.126,0.064,,20742.0
11,est_pct_nocar,0.179,0.043,0.315,p<0.01,20986.0
12,est_pct_singparents,0.031,-0.089,0.151,,20929.0
13,dac,0.213,-0.238,0.664,,20929.0
14,pct_novote,0.161,-0.129,0.45,,21088.0
