,index,coef,p5,p95,significance,n_obs
0,est_pct_poverty,1.26,1.14,1.393,p<0.01,50291.0
1,est_pct_poc,0.993,0.83,1.189,,50372.0
2,est_pct_latinx,1.213,1.078,1.365,p<0.01,50372.0
3,est_pct_nhblack,0.9,0.765,1.059,,50372.0
4,est_pct_asianpi,0.924,0.858,0.995,p<0.05,50372.0
5,est_pct_native,1.004,0.96,1.049,,50372.0
6,est_pct_otherpoc,1.013,0.956,1.074,,50545.0
7,est_pct_renters,1.477,1.371,1.592,p<0.01,50372.0
8,est_pct_langisolation,1.193,1.092,1.304,p<0.01,50268.0
9,est_pct_elderly,1.187,1.143,1.233,p<0.01,50268.0
10,est_pct_under18,0.898,0.845,0.954,p<0.01,49608.0
11,est_pct_nocar,1.421,1.278,1.581,p<0.01,50372.0
12,est_pct_singparents,0.992,0.892,1.103,,50268.0
13,dac,1.511,1.231,1.855,p<0.01,50268.0
14,pct_novote,1.303,1.137,1.493,p<0.01,50545.0
