,index,coef,p5,p95,significance,n_obs
0,est_pct_poverty,1.304,1.2,1.417,p<0.01,50653.0
1,est_pct_poc,1.038,0.899,1.2,,50734.0
2,est_pct_latinx,1.19,1.016,1.393,p<0.05,50734.0
3,est_pct_nhblack,0.945,0.794,1.124,,50734.0
4,est_pct_asianpi,0.999,0.886,1.126,,50734.0
5,est_pct_native,1.015,0.98,1.05,,50734.0
6,est_pct_otherpoc,0.946,0.873,1.025,,50909.0
7,est_pct_renters,1.445,1.323,1.577,p<0.01,50734.0
8,est_pct_langisolation,1.248,1.121,1.389,p<0.01,50630.0
9,est_pct_elderly,1.197,1.14,1.257,p<0.01,50630.0
10,est_pct_under18,0.912,0.86,0.967,p<0.01,50304.0
11,est_pct_nocar,1.475,1.251,1.739,p<0.01,50734.0
12,est_pct_singparents,1.018,0.937,1.107,,50630.0
13,dac,1.685,1.427,1.989,p<0.01,50630.0
14,pct_novote,1.377,1.24,1.528,p<0.01,50909.0
