,index,coef,p5,p95,significance,n_obs
0,est_pct_poverty,1.066,1.013,1.123,p<0.05,7863.0
1,est_pct_poc,1.106,1.043,1.173,p<0.01,7888.0
2,est_pct_latinx,1.151,1.073,1.234,p<0.01,7888.0
3,est_pct_nhblack,1.029,0.98,1.08,,7888.0
4,est_pct_asianpi,0.94,0.881,1.003,p<0.1,7888.0
5,est_pct_native,1.013,0.985,1.043,,7888.0
6,est_pct_otherpoc,1.014,0.991,1.039,,7951.0
7,est_pct_renters,1.115,1.076,1.155,p<0.01,7888.0
8,est_pct_langisolation,1.042,0.948,1.146,,7853.0
9,est_pct_elderly,1.01,0.99,1.03,,7853.0
10,est_pct_under18,1.016,0.978,1.056,,7766.0
11,est_pct_nocar,1.076,1.017,1.139,p<0.05,7888.0
12,est_pct_singparents,1.061,1.024,1.099,p<0.01,7853.0
13,dac,1.138,0.972,1.332,,7853.0
14,pct_novote,1.124,1.022,1.235,p<0.05,7951.0
