,index,coef,p5,p95,significance,n_obs
0,est_pct_poverty,1.058,0.971,1.153,,20943.0
1,est_pct_poc,1.022,0.921,1.134,,20986.0
2,est_pct_latinx,1.112,1.028,1.204,p<0.01,20986.0
3,est_pct_nhblack,0.967,0.885,1.056,,20986.0
4,est_pct_asianpi,0.952,0.908,0.999,p<0.05,20986.0
5,est_pct_native,1.014,0.996,1.033,,20986.0
6,est_pct_otherpoc,1.027,0.987,1.069,,21088.0
7,est_pct_renters,1.14,1.082,1.201,p<0.01,20986.0
8,est_pct_langisolation,1.02,0.923,1.127,,20929.0
9,est_pct_elderly,1.038,1.017,1.06,p<0.01,20929.0
10,est_pct_under18,0.987,0.96,1.014,,20742.0
11,est_pct_nocar,1.171,1.106,1.24,p<0.01,20986.0
12,est_pct_singparents,1.002,0.936,1.073,,20929.0
13,dac,1.103,0.895,1.359,,20929.0
14,pct_novote,1.074,0.921,1.253,,21088.0
