index,n_exposed_205pop_density,n_exposed_205pop_density_3000m,n_exposed_210pop_density,n_exposed_210pop_density_3000m
dac,"1.138/n[0.972,1.332]","1.103/n[0.895,1.359]","1.119/n[0.974,1.285]","1.242**/n[1.046,1.474]"
pct_novote,"1.124**/n[1.022,1.235]","1.074/n[0.921,1.253]","1.128***/n[1.032,1.234]","1.136/n[0.999,1.290]"
est_pct_poverty,"1.066**/n[1.013,1.123]","1.058/n[0.971,1.153]","1.068***/n[1.017,1.122]","1.113***/n[1.034,1.199]"
est_pct_renters,"1.115***/n[1.076,1.155]","1.140***/n[1.082,1.201]","1.114***/n[1.072,1.158]","1.165***/n[1.106,1.226]"
est_pct_poc,"1.106***/n[1.043,1.173]","1.022/n[0.921,1.134]","1.049/n[0.968,1.137]","1.044/n[0.932,1.170]"
est_pct_latinx,"1.151***/n[1.073,1.234]","1.112***/n[1.028,1.204]","1.112***/n[1.056,1.171]","1.143***/n[1.067,1.224]"
est_pct_nhblack,"1.029/n[0.980,1.080]","0.967/n[0.885,1.056]","1.001/n[0.940,1.067]","0.970/n[0.886,1.062]"
est_pct_asianpi,"0.940/n[0.881,1.003]","0.952**/n[0.908,0.999]","0.932**/n[0.878,0.990]","0.966/n[0.926,1.008]"
est_pct_native,"1.013/n[0.985,1.043]","1.014/n[0.996,1.033]","0.989/n[0.957,1.023]","1.012/n[0.990,1.034]"
est_pct_otherpoc,"1.014/n[0.991,1.039]","1.027/n[0.987,1.069]","1.001/n[0.971,1.032]","0.986/n[0.946,1.028]"
est_pct_langisolation,"1.042/n[0.948,1.146]","1.020/n[0.923,1.127]","1.036/n[0.956,1.123]","1.079/n[0.984,1.184]"
est_pct_nocar,"1.076**/n[1.017,1.139]","1.171***/n[1.106,1.240]","1.095***/n[1.028,1.165]","1.208***/n[1.135,1.286]"
est_pct_singparents,"1.061***/n[1.024,1.099]","1.002/n[0.936,1.073]","1.035/n[0.990,1.083]","1.024/n[0.955,1.098]"
est_pct_elderly,"1.010/n[0.990,1.030]","1.038***/n[1.017,1.060]","1.015/n[0.994,1.036]","1.039***/n[1.016,1.063]"
est_pct_under18,"1.016/n[0.978,1.056]","0.987/n[0.960,1.014]","0.997/n[0.965,1.029]","0.985/n[0.956,1.016]"
