,category,% renters,% non-voters,% without a car,% poverty,% linguistic isolation,% Hispanic,% Black,% Asian & Pacific Islanders,% Native Americans,% Other people of color
8,Power Plants (Nuclear and Fossil Fuel),"-0.29 /n[-0.32,-0.26]","-0.27 /n[-0.30,-0.24]","-0.44 /n[-0.48,-0.41]","-0.05 /n[-0.08,-0.01]","-0.03 /n[-0.07,-0.00]","-0.02 /n[-0.05,0.01]","-0.09 /n[-0.12,-0.06]","-0.12 /n[-0.15,-0.08]","0.14 /n[0.11,0.17]","-0.00 /n[-0.03,0.03]"
0,Animal Operations,"0.28 /n[0.18,0.37]","0.14 /n[0.05,0.22]","0.22 /n[0.12,0.32]","-0.15 /n[-0.24,-0.06]","0.42 /n[0.31,0.52]","0.32 /n[0.21,0.43]","0.11 /n[-0.03,0.26]","0.32 /n[0.23,0.41]","-0.10 /n[-0.23,0.03]","0.05 /n[-0.06,0.17]"
10,Sewage Treatment Facilities,"-0.14 /n[-0.16,-0.12]","-0.06 /n[-0.08,-0.04]","-0.14 /n[-0.16,-0.12]","0.00 /n[-0.02,0.02]","-0.04 /n[-0.05,-0.02]","-0.03 /n[-0.05,-0.01]","-0.02 /n[-0.04,0.00]","-0.02 /n[-0.04,-0.00]","0.05 /n[0.04,0.07]","-0.00 /n[-0.02,0.02]"
4,Hazardous Waste Treatment & Disposal,"-0.25 /n[-0.30,-0.20]","-0.01 /n[-0.06,0.05]","-0.16 /n[-0.21,-0.10]","-0.04 /n[-0.09,0.02]","-0.13 /n[-0.18,-0.08]","-0.07 /n[-0.12,-0.02]","-0.01 /n[-0.06,0.04]","-0.16 /n[-0.21,-0.11]","-0.21 /n[-0.26,-0.16]","-0.12 /n[-0.17,-0.07]"
5,Industrial Facilities (TRI),"-0.32 /n[-0.33,-0.30]","-0.21 /n[-0.23,-0.19]","-0.29 /n[-0.30,-0.27]","-0.13 /n[-0.14,-0.11]","-0.19 /n[-0.21,-0.17]","-0.16 /n[-0.18,-0.14]","-0.11 /n[-0.13,-0.09]","-0.06 /n[-0.08,-0.04]","-0.01 /n[-0.02,0.01]","-0.03 /n[-0.05,-0.02]"
6,Landfills and Incinerators,"-0.08 /n[-0.13,-0.03]","-0.05 /n[-0.11,0.00]","-0.01 /n[-0.06,0.04]","-0.04 /n[-0.09,0.02]","0.02 /n[-0.03,0.07]","-0.03 /n[-0.08,0.03]","-0.02 /n[-0.07,0.03]","-0.05 /n[-0.10,0.01]","-0.10 /n[-0.15,-0.06]","-0.08 /n[-0.13,-0.03]"
1,Clean-up Sites,"-0.26 /n[-0.30,-0.23]","-0.24 /n[-0.27,-0.21]","-0.29 /n[-0.32,-0.25]","-0.10 /n[-0.14,-0.06]","-0.07 /n[-0.10,-0.03]","-0.11 /n[-0.14,-0.07]","-0.12 /n[-0.15,-0.08]","-0.01 /n[-0.05,0.02]","0.11 /n[0.08,0.14]","-0.03 /n[-0.07,0.01]"
9,Refineries,"-0.01 /n[-0.15,0.12]","-0.47 /n[-0.59,-0.36]","0.00 /n[-0.14,0.14]","-0.21 /n[-0.35,-0.08]","0.16 /n[0.01,0.31]","-0.10 /n[-0.26,0.05]","-0.25 /n[-0.38,-0.11]","0.40 /n[0.29,0.52]","0.30 /n[0.18,0.43]","0.12 /n[-0.03,0.27]"
3,Fossil Fuel Ports and Terminals,"-0.35 /n[-0.39,-0.32]","-0.36 /n[-0.39,-0.32]","-0.30 /n[-0.33,-0.26]","-0.20 /n[-0.23,-0.16]","-0.15 /n[-0.18,-0.11]","-0.13 /n[-0.16,-0.09]","-0.10 /n[-0.14,-0.07]","0.01 /n[-0.03,0.04]","0.01 /n[-0.02,0.05]","-0.03 /n[-0.07,0.01]"
2,Formerly Used Defense Sites,"-0.03 /n[-0.06,-0.00]","0.07 /n[0.04,0.10]","0.01 /n[-0.01,0.04]","0.05 /n[0.02,0.08]","-0.02 /n[-0.05,0.00]","0.00 /n[-0.02,0.03]","0.02 /n[-0.00,0.05]","-0.03 /n[-0.06,-0.01]","-0.10 /n[-0.12,-0.07]","-0.02 /n[-0.05,0.00]"
7,Oil & Gas Wells,"0.09 /n[-0.10,0.28]","0.21 /n[-0.01,0.42]","0.19 /n[0.06,0.32]","0.14 /n[-0.01,0.30]","0.12 /n[0.01,0.22]","-0.00 /n[-0.13,0.12]","0.16 /n[0.06,0.26]","-0.01 /n[-0.12,0.11]","-0.42 /n[-0.52,-0.32]","-0.10 /n[-0.23,0.02]"
