index,eae_exposed_205pop_density,eae_exposed_205pop_density_3000m,eae_exposed_210pop_density,eae_exposed_210pop_density_3000m
dac,"0.075/n[-0.136,0.287]","0.213/n[-0.238,0.664]","0.205/n[-0.058,0.467]","0.640/n[-0.123,1.403]"
pct_novote,"0.090/n[-0.014,0.195]","0.161/n[-0.129,0.450]","0.178**/n[0.010,0.346]","0.432/n[-0.154,1.017]"
est_pct_poverty,"0.041/n[-0.013,0.095]","0.097/n[-0.054,0.249]","0.102**/n[0.021,0.183]","0.305/n[-0.008,0.618]"
est_pct_renters,"0.048**/n[0.010,0.086]","0.184***/n[0.080,0.289]","0.188***/n[0.120,0.255]","0.516***/n[0.298,0.734]"
est_pct_poc,"0.071/n[-0.026,0.168]","0.059/n[-0.125,0.242]","0.050/n[-0.095,0.195]","0.053/n[-0.400,0.506]"
est_pct_latinx,"0.132/n[-0.036,0.300]","0.257/n[-0.019,0.534]","0.208**/n[0.029,0.387]","0.506***/n[0.143,0.869]"
est_pct_nhblack,"0.009/n[-0.049,0.068]","-0.096/n[-0.264,0.072]","-0.058/n[-0.171,0.055]","-0.249/n[-0.621,0.124]"
est_pct_asianpi,"-0.060/n[-0.158,0.038]","-0.046/n[-0.182,0.090]","-0.092/n[-0.208,0.025]","-0.045/n[-0.217,0.127]"
est_pct_native,"0.026/n[-0.022,0.075]","0.056/n[-0.021,0.134]","0.016/n[-0.030,0.061]","0.060/n[-0.017,0.137]"
est_pct_otherpoc,"0.003/n[-0.028,0.033]","0.049/n[-0.024,0.123]","0.015/n[-0.038,0.068]","0.032/n[-0.133,0.197]"
est_pct_langisolation,"0.008/n[-0.102,0.117]","0.086/n[-0.174,0.347]","0.078/n[-0.081,0.237]","0.297/n[-0.125,0.719]"
est_pct_nocar,"0.012/n[-0.057,0.081]","0.179***/n[0.043,0.315]","0.156**/n[0.035,0.277]","0.677***/n[0.383,0.970]"
est_pct_singparents,"0.060/n[-0.007,0.127]","0.031/n[-0.089,0.151]","0.038/n[-0.042,0.119]","-0.013/n[-0.308,0.282]"
est_pct_elderly,"-0.005/n[-0.031,0.021]","0.042/n[-0.007,0.092]","0.053***/n[0.017,0.089]","0.148***/n[0.061,0.235]"
est_pct_under18,"0.028/n[-0.031,0.088]","-0.031/n[-0.126,0.064]","0.002/n[-0.062,0.067]","-0.101/n[-0.225,0.023]"
